Country Name;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Brazil;52.66;53.18;53.71;54.21;54.65;55.08;55.47;55.87;56.31;56.75;57.17;57.59;58.03;58.47;58.88;59.35;59.79;60.24;60.72;61.25;61.78;62.33;62.86;63.33;63.77;64.20;64.64;65.08;65.45;65.87;65.98;66.31;66.71;67.11;67.57;67.92;68.41;68.81;69.19;69.52;69.74;70.19;70.41;70.72;71.13;71.75;72.04;72.36;72.72;72.95;73.18;73.34;73.55;73.92;74.31;74.33;74.44;74.83;75.11;75.34;74.01;72.75
China;33.28;40.47;50.82;51.41;52.16;52.91;53.64;54.35;55.06;55.74;56.61;57.56;58.42;59.39;60.17;60.92;61.80;62.54;63.22;63.86;64.42;64.97;65.46;65.90;66.30;66.64;66.97;67.29;67.58;67.84;68.00;68.17;68.73;69.22;69.52;70.01;70.27;70.67;71.17;71.42;71.88;72.61;72.98;73.37;73.75;74.11;74.50;74.76;74.87;75.34;75.60;75.90;76.19;76.45;76.72;76.98;77.22;77.25;77.74;77.97;78.08;78.21
India;45.22;45.40;45.66;45.94;46.18;44.98;45.33;45.67;47.47;47.86;48.24;48.63;49.02;49.54;50.24;50.81;51.39;51.91;52.49;53.06;53.61;54.18;54.73;55.28;55.82;56.33;56.84;57.32;57.78;58.23;58.65;59.06;59.45;59.82;60.22;60.60;60.98;61.39;61.79;62.21;62.67;63.09;63.62;64.09;64.52;65.00;65.41;65.79;66.15;66.51;66.91;67.36;67.89;68.46;69.07;69.64;70.12;70.47;70.71;70.91;70.15;67.24
Russian Federation;67.47;67.63;67.30;67.76;68.37;67.89;67.90;67.59;67.49;66.88;68.13;68.38;68.31;68.29;68.32;67.72;67.49;67.38;67.39;67.11;67.03;67.26;67.81;67.65;67.20;67.86;69.39;69.44;69.46;69.17;68.89;68.47;66.87;64.94;64.47;64.69;65.85;66.70;67.03;65.98;65.48;65.38;65.13;65.03;65.47;65.53;66.73;67.59;67.95;68.68;68.84;69.68;70.07;70.58;70.74;71.18;71.65;72.45;72.66;73.08;71.34;69.36
South Africa;52.67;53.08;53.38;53.63;53.91;54.19;54.39;54.63;54.88;55.19;55.58;55.96;56.27;56.72;57.12;57.51;58.01;58.49;58.98;59.40;59.81;60.36;60.93;61.46;61.91;62.38;62.91;63.04;63.34;63.31;63.38;63.26;63.34;63.04;62.61;62.26;61.46;60.80;60.00;59.24;58.47;57.26;55.67;54.33;54.04;53.98;54.28;54.99;56.02;57.45;58.90;60.65;61.85;62.53;63.38;63.95;64.75;65.40;65.67;66.18;65.25;62.34
