Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brazil,232.998762450445,229.336766423598,247.834299715922,291.404006118712,254.838581035491,265.475397633938,325.173107406638,348.021102794167,370.180411753128,395.441384632115,439.220916221935,494.80274991997,577.451537235053,806.354512747851,1034.16442979806,1188.6195317366,1376.3479281208,1547.6942060653,1716.70772767288,1853.01969086922,1941.25953805961,2061.34995420275,2118.56410810781,1448.00973115761,1406.68979969815,1541.7088902223,1836.68497846624,1986.83413845848,2119.61108115279,2790.4142039498,3085.39621553317,2659.04855834441,2505.22503287296,2766.3284771876,3393.14292559822,4704.96154610973,5121.90540734464,5240.12879606607,5049.76611957929,3456.42359489537,3726.81142041068,3142.23552848117,2824.71539582671,3056.64968001868,3623.22390486815,4773.26848028038,5866.02431314405,7323.19034003928,8801.75947547502,8569.90180523381,11249.2937410718,13200.5581661879,12327.5155558345,12258.5648491717,12071.4046547485,8783.21441310718,8680.73542054827,9896.7175109967,9121.02009249958,8845.3239312417,6923.70019715065,7696.78553127562,8917.67389796927
China,89.5202179159242,75.8055639067957,70.9091553472599,74.3133748233246,85.4982461036748,98.4864217470782,104.324189073855,96.58918279471,91.4723876555406,100.129541321549,113.16258249869,118.654148878636,131.885532177972,157.089148425884,160.147680664743,178.339576757627,165.404232489529,185.420499214387,156.396388520044,183.983152215978,194.804722186836,197.071474499102,203.334919503464,225.431928890812,250.713969046988,294.45884850496,281.928120911563,251.811956961329,283.537695240524,310.8819124049,317.884673040928,333.142145400184,366.460692306116,377.3898394789,473.489934719476,609.604362258828,709.415888233368,781.74259264729,828.594657681663,873.297610969115,959.360412054851,1053.11227201705,1148.51418772689,1288.63754323945,1508.66794598726,1753.41426293188,2099.21934229104,2693.95855454419,3468.32706307504,3832.2274278698,4550.47392427081,5614.38573851229,6300.58235236313,7020.38568208449,7636.07422276004,8016.44601585644,8094.39037512163,8817.04549566316,9905.4061175104,10143.8602060373,10408.7191247747,12617.5049863004,12720.2156397612
India,83.0351017584916,85.9697041171847,90.2768688575718,101.315164901321,115.487608265464,119.082475942029,89.7575826115815,96.0463297617622,99.5168360366295,107.182143049037,111.968318080332,118.160535251032,122.612453445976,143.456124984427,163.231615579564,157.929385028241,161.137236080759,186.419095944098,206.073749258556,224.575437698719,267.390578652535,271.426155947875,275.26609786591,292.644658253572,278.095407433944,297.999256830726,312.059843944546,342.071923724964,355.738417959806,347.46203694908,368.749759408129,303.850437957407,317.558734692935,301.500786402084,346.227393126043,373.628233796392,399.577306551262,414.898683481559,412.509355760123,440.961454614021,442.034778917695,449.911124933268,468.84442830518,543.843798893951,624.105094371897,710.509344850714,802.01374204738,1022.73247550475,993.503412459599,1096.63613605864,1350.63445681517,1449.60330101065,1434.01797842656,1438.05699513067,1559.86377161811,1590.17432166504,1714.2795405846,1957.96981368095,1974.37773014516,2050.16378973235,1913.21972103493,2238.12713873311,2388.62119776762
Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3777.2353515625,3428.76220703125,3492.71020507813,3490.45239257813,3098.802734375,2930.67016601563,2662.10400390625,2665.77978515625,2643.92919921875,2737.57202148438,1834.86181640625,1330.75720214844,1771.59411621094,2100.3525390625,2377.52954101563,2975.123046875,4102.36474609375,5323.455078125,6920.19970703125,9101.2392578125,11635.2841796875,8562.82421875,10674.990234375,14311.064453125,15420.8583984375,15974.623046875,14095.646484375,9313.021484375,8704.89453125,10720.33203125,11287.3544921875,11536.2587890625,10194.44140625,12593.1572265625,15345.0966796875
South Africa,529.561922957192,543.042223891929,560.699394692777,601.59995115142,642.688430984599,681.131111596082,718.118179393123,775.152812313432,813.50849702348,887.246702640596,948.591794172109,1016.48348348311,1034.49182061602,1364.20586794348,1650.48289147016,1664.48055674013,1554.00240798696,1666.49521811799,1846.85173768388,2196.69850982939,3034.66139003582,3080.83321949136,2769.09663792252,3019.09868513373,2590.01460214705,1909.73972251918,2103.19201897844,2672.689100151,2780.58681833112,2794.39567898293,3160.8783649925,3304.82837710984,3519.00109082746,3461.33435267018,3547.95141522288,3904.32423803244,3654.92745642539,3731.43183046554,3336.43954671854,3267.9390794289,3241.66124034865,2867.47255222291,2708.42341883274,4095.68360999415,5268.27898399793,5893.18676697246,6139.58146655445,6662.06278541847,6251.87717465472,6444.18672009771,8059.56284101092,8737.04111019993,8173.8691381716,7441.23085399675,6965.1378973693,6204.92990145846,5735.06678717842,6734.47515312493,7048.50811239074,6688.77474649645,5741.64124877252,7055.05517621298,6776.48007742932
